stock_code,fiscal_year,seed_tfidf_E,seed_tfidf_S,seed_tfidf_G,expanded_tfidf_S,expanded_tfidf_G,g_signal_ratio,esg_signal_ratio,total_tokens,log_tokens,specificity,cosine_E,cosine_S,cosine_G,esg_year,esg_grade,esg_grade_num,e_grade_num,s_grade_num,g_grade_num
000680,2022,0.0437604978217325,0.03573569253976984,0.02959257668822236,0.03573569253976984,0.02959257668822236,0.03285111512959614,0.03496081977094635,3318,8.107418811719974,0.0003013863773357444,0.01764170024718576,0.011321873363845134,0.00509802009644858,2023,B+,3,2,4,3
000680,2023,0.023453454127452728,0.020588299211113242,0.021201231619884874,0.020588299211113242,0.021201231619884874,0.023606427296171396,0.024399920650664552,5041,8.525558107747866,0.00019837333862328903,0.013882531432020185,0.008518220788746547,0.007304825531509129,2024,B+,3,2,4,3
000680,2024,0.030731801260055047,0.016328272337561702,0.01681437986846152,0.016328272337561702,0.01681437986846152,0.01798257937622928,0.01798257937622928,7118,8.870522545103873,0.0004214667041303737,0.013641508861936807,0.013424237708323506,0.0130350328468639,2025,C,1,2,3,1
000700,2022,0.0,0.06614255431647267,0.06737047600953694,0.06614255431647267,0.06737047600953694,0.028299750962191533,0.028526148969889066,4417,8.393442383980062,0.0,0.016966952449544593,0.04707399365514682,0.0,2023,B+,3,3,4,3
000700,2023,0.00810244833595191,0.0815695448780768,0.06738596337454038,0.0815695448780768,0.06738596337454038,0.026714964908308807,0.027620556939098935,4417,8.393442383980062,0.0,0.025872484929759187,0.048072786833913944,0.0,2024,B+,3,3,4,3
000700,2024,0.015722398590344668,0.09701270247998212,0.061457508561952166,0.09701270247998212,0.061457508561952166,0.022945804195804196,0.024912587412587412,4576,8.428799040653642,0.0,0.028820228456292445,0.05890533419983698,0.0,2025,B+,3,2,4,3
000720,2022,0.20399952103620853,0.027123321584443298,0.0,0.027123321584443298,0.0,0.020291459140380004,0.026747832503228187,5421,8.598220030058611,0.00018446781036709093,0.026451675940104773,0.014364623679939756,0.0028192904714620655,2023,A,4,4,4,4
000720,2023,0.20927183890985354,0.02930429633933368,0.009592289916232493,0.034007798867037614,0.009592289916232493,0.018913760194343224,0.025334027416276245,5763,8.659386957119413,0.00017352073572791948,0.02241934829780234,0.013561335242328748,0.0057690130312597464,2024,A,4,4,4,3
000720,2024,0.31925666624192,0.017938333412127548,0.0,0.017938333412127548,0.0,0.01773434672457474,0.02859211002533478,5526,8.617400451833262,0.0003619254433586681,0.061464308347814064,0.012011236215850991,0.0026306297816645974,2025,A,4,4,5,4
000760,2022,0.0,0.010154037324597841,0.022362988139341893,0.010154037324597841,0.022362988139341893,0.04537521815008726,0.04421175101803374,1719,7.450079569807499,0.0,0.008694372753338848,0.0054333388402438045,0.007179619018140407,2023,C,1,1,0,1
000760,2023,0.0,0.009999879012480062,0.02202347387567856,0.009999879012480062,0.02202347387567856,0.04983202687569989,0.048712206047032476,1786,7.488293515159428,0.0,0.008562375028125582,0.005350850041158252,0.0070706182419856805,2024,D,0,1,0,0
000760,2024,0.0,0.010363898959127853,0.02282518195386812,0.010363898959127853,0.02282518195386812,0.04706565950029053,0.04590354445090064,1721,7.451241684987676,0.0,0.008874066329292999,0.00554563401245149,0.007328005963577344,2025,D,0,0,0,0
000810,2022,0.0,0.0067212639961153975,0.011074179429692126,0.012977238244496434,0.011074179429692126,0.018338870431893688,0.014219269102990033,7525,8.926118971153382,0.0014617940199335548,0.0,0.019220207545418123,0.0,2023,A,4,4,5,4
000810,2023,0.0,0.00779977596628746,0.011230941460307722,0.019078943130764157,0.011230941460307722,0.018602976476236197,0.014882381180988958,8332,9.027978814382207,0.0009601536245799327,0.0014905107742986053,0.0194292409911638,0.0,2024,B+,3,4,4,3
000810,2024,0.0,0.008055692936293832,0.010310611333884114,0.013880315825904887,0.010310611333884114,0.01841182364729459,0.014529058116232466,7984,8.985320060649112,0.000125250501002004,0.0020703130135567415,0.019545332439303148,0.0,2025,A,4,4,5,4
000850,2022,0.0,0.024602062942921138,0.007301275023961506,0.024602062942921138,0.007301275023961506,0.015342960288808664,0.017148014440433214,3324,8.109224953089955,0.0,0.007126656249162178,0.011531058024607016,0.0,2023,C,1,0,1,1
000850,2023,0.014103479700875294,0.03780942199255282,0.007571620293028813,0.03780942199255282,0.007571620293028813,0.015983112183353437,0.018998793727382387,3316,8.106816038947052,0.0,0.014602611007879941,0.014970065395501104,0.0,2024,C,1,0,1,1
000850,2024,0.012586441640304796,0.0276729403044821,0.008212634377591043,0.0276729403044821,0.008212634377591043,0.01707891637220259,0.019729093050647822,3396,8.130647968160584,0.0,0.012307980197440315,0.012970387121714291,0.0,2025,C,1,0,1,1
000860,2022,0.03263147177089292,0.03277134358576886,0.009437989844864244,0.09345920014072737,0.009437989844864244,0.017743080198722498,0.018925952211970666,4227,8.349484346990128,0.0,0.01788671863951898,0.010517241819809954,0.0,2023,B+,3,3,3,3
000860,2023,0.019968995833506368,0.18954791833639667,0.009367208803189912,0.25918807256258236,0.009367208803189912,0.016603096253085033,0.02266098272380525,4457,8.402455513945814,0.0,0.010355849536261877,0.05563653945579711,0.0,2024,B+,3,4,3,3
000860,2024,0.01616275124235041,0.18031360479831987,0.025835789667432236,0.2523417997013165,0.025835789667432236,0.021004566210045664,0.025799086757990867,4380,8.385032287813898,0.0,0.008975980603401825,0.055905451952478424,0.0,2025,B+,3,3,4,3
