company_name,stock_code,corp_code,fiscal_year,esg_year,rcept_no,report_nm,rcept_dt,selection_priority,section_chars_II,section_chars_IV,section_chars_VI,total_chars,viewer_url,status,reason
우리금융지주,316140,01350869,2024,2025,20250318001196,사업보고서 (2024.12),20250318,0,59003,40747,5158,104910,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001196,SUCCESS,
BNK금융지주,138930,00858364,2022,2023,20230309000759,사업보고서 (2022.12),20230309,0,31900,30240,6348,68490,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230309000759,SUCCESS,
BNK금융지주,138930,00858364,2023,2024,20240314001564,사업보고서 (2023.12),20240314,0,31795,32748,5747,70292,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001564,SUCCESS,
BNK금융지주,138930,00858364,2024,2025,20250318001176,사업보고서 (2024.12),20250318,0,25846,30886,4702,61436,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001176,SUCCESS,
기업은행,024110,00149646,2022,2023,20230315001098,사업보고서 (2022.12),20230315,0,9726,20757,4261,34746,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230315001098,SUCCESS,
기업은행,024110,00149646,2023,2024,20240318000636,사업보고서 (2023.12),20240318,0,10745,20339,4688,35774,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000636,SUCCESS,
기업은행,024110,00149646,2024,2025,20250318001325,사업보고서 (2024.12),20250318,0,8462,19241,4175,31880,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001325,SUCCESS,
동아쏘시오홀딩스,000640,00116824,2022,2023,20230321001017,사업보고서 (2022.12),20230321,0,15144,9821,2009,26976,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001017,SUCCESS,
동아쏘시오홀딩스,000640,00116824,2023,2024,20240320001846,사업보고서 (2023.12),20240320,0,15195,10781,1619,27597,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001846,SUCCESS,
동아쏘시오홀딩스,000640,00116824,2024,2025,20250321001899,사업보고서 (2024.12),20250321,0,15895,8226,1664,25787,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001899,SUCCESS,
SK네트웍스,001740,00131780,2022,2023,20230321001119,사업보고서 (2022.12),20230321,0,28093,9344,2197,39636,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001119,SUCCESS,
SK네트웍스,001740,00131780,2023,2024,20240319000871,사업보고서 (2023.12),20240319,0,25691,14160,2700,42553,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240319000871,SUCCESS,
SK네트웍스,001740,00131780,2024,2025,20250318000975,사업보고서 (2024.12),20250318,0,23424,12260,3597,39283,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000975,SUCCESS,
아모레퍼시픽홀딩스,002790,00154462,2022,2023,20230309000832,사업보고서 (2022.12),20230309,0,39178,10541,3641,53362,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230309000832,SUCCESS,
아모레퍼시픽홀딩스,002790,00154462,2023,2024,20240307000584,사업보고서 (2023.12),20240307,0,21529,10168,4122,35821,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240307000584,SUCCESS,
아모레퍼시픽홀딩스,002790,00154462,2024,2025,20250317000463,사업보고서 (2024.12),20250317,0,19393,10582,3511,33488,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000463,SUCCESS,
포스코케미칼,003670,00155276,2022,2023,20230309000498,사업보고서 (2022.12),20230309,0,19143,21839,3606,44590,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230309000498,SUCCESS,
포스코퓨처엠,003670,00155276,2023,2024,20240315000859,사업보고서 (2023.12),20240315,0,19713,12076,3428,35219,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000859,SUCCESS,
포스코퓨처엠,003670,00155276,2024,2025,20250314000603,사업보고서 (2024.12),20250314,0,14767,10236,3595,28600,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314000603,SUCCESS,
삼성SDI,006400,00126362,2022,2023,20230307000558,사업보고서 (2022.12),20230307,0,12971,6862,9376,29211,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230307000558,SUCCESS,
삼성SDI,006400,00126362,2023,2024,20240312000853,사업보고서 (2023.12),20240312,0,12660,8364,10409,31435,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000853,SUCCESS,
삼성SDI,006400,00126362,2024,2025,20250311001275,사업보고서 (2024.12),20250311,0,13587,15505,8764,37858,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001275,SUCCESS,
GS리테일,007070,00140177,2022,2023,20230315001215,사업보고서 (2022.12),20230315,0,42111,11840,5269,59222,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230315001215,SUCCESS,
GS리테일,007070,00140177,2023,2024,20240313001562,사업보고서 (2023.12),20240313,0,38852,10967,4381,54202,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240313001562,SUCCESS,
GS리테일,007070,00140177,2024,2025,20250312000991,사업보고서 (2024.12),20250312,0,33216,9453,4547,47218,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312000991,SUCCESS,
현대위아,011210,00106623,2022,2023,20230314000727,사업보고서 (2022.12),20230314,0,22042,5217,3670,30931,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230314000727,SUCCESS,
현대위아,011210,00106623,2023,2024,20240320001675,사업보고서 (2023.12),20240320,0,24022,4545,3363,31932,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001675,SUCCESS,
현대위아,011210,00106623,2024,2025,20250311001283,사업보고서 (2024.12),20250311,0,24665,4661,3054,32382,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001283,SUCCESS,
HL D&I,014790,00161116,2022,2023,20230315001407,사업보고서 (2022.12),20230315,0,14830,5023,1415,21270,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230315001407,SUCCESS,
HL D&I,014790,00161116,2023,2024,20240318000780,사업보고서 (2023.12),20240318,0,14143,5259,1445,20849,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000780,SUCCESS,
HL D&I,014790,00161116,2024,2025,20250317000836,사업보고서 (2024.12),20250317,0,15475,2831,1635,19943,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000836,SUCCESS,
케이티,030200,00190321,2022,2023,20230323001449,사업보고서 (2022.12),20230323,0,81283,14696,5300,101281,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230323001449,SUCCESS,
